pl_name,hostname,pl_letter,discoverymethod,disc_year,disc_facility,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,st_rotp,st_rotperr1,st_rotperr2,pl_orbper_reflink,pl_orbsmax_reflink,pl_rade_reflink,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmasse_reflink,pl_insol_reflink,pl_eqt_reflink,pl_imppar_reflink,pl_trandur_reflink,pl_ratdor_reflink,pl_ratror_reflink,TSM,transSignal,manual_add
TOI-1811 b,TOI-1811,b,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,3.7130765,1.7e-06,-1.7e-06,0,0.04389,0.00058,-0.00055,0.0,11.142,0.28,-0.258,0,Mass,0.052,0.062,-0.037,0.0,55.97,,,0.0,86.48,0.15,-0.2,0.0,0.7393,0.0083,-0.0088,0.0,1.951,0.014,-0.013,0.0,12.28,0.27,-0.31,0.0,0.13272,0.00072,-0.00071,0.0,962.2,8.0,-7.9,4766.0,52.0,-54.0,0.0,0.77,0.02,-0.02,0,0.82,0.03,-0.03,0,4.58,0.02,-0.03,0.0,12h35m41.37s,188.9223576,+27d12m51.76s,27.2143766,128.23,0.711,-0.704,11.966,0.057,-0.057,10.28,0.024,-0.024,9.732,0.027,-0.027,9.643,0.025,-0.025,,,,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,308.92921,24.15496,-24.79062,0.0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,73.45345546961215,0.00035104553076838413,0.0
LTT 3780 c,LTT 3780,c,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,12.2519,0.0028,-0.003,0,0.07673,0.00075,-0.00077,0.0,2.3,0.16,-0.15,0,Mass,0.06,0.15,-0.14,0.0,2.63,0.56,-0.48,0.0,89.18,0.47,-0.22,0.0,0.65,0.15,-0.36,0.0,1.392,0.05,-0.049,0.0,44.6,1.5,-1.3,0.0,0.057,0.0035,-0.0033,0.0,353.0,18.0,-18.0,3331.0,157.0,-157.0,0.0,0.37,0.01,-0.01,0,0.4,0.01,-0.01,0,4.9,0.03,-0.03,0.0,10h18m34.78s,154.6449033,-11d43m04.08s,-11.717801,21.9814,0.0403,-0.0402,13.14,0.035,-0.035,9.007,0.03,-0.03,8.439,0.065,-0.065,8.204001,0.021,-0.021,104.0,15.0,-15.0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,8.6,1.6,-1.3,0.0,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,72.61508652452932,0.0001761468864010331,0.0
K2-198 b,K2-198,b,Transit,2018,K2,1,17.0428683,7.1e-06,-3.5e-06,0,0.12032559475073126,,,,4.189,0.228,-0.098,0,M-R relationship,,,,,,,,,88.904,0.094,-0.027,0.0,0.661,0.032,-0.0099,0.0,2.9592,0.0528,-0.072,0.0,25.86,0.95,-0.48,0.0,0.039,0.001,-0.00088,0.0,715.8,18.72,-9.26,5212.9,99.0,-49.2,0.0,0.76,0.04,-0.02,0,0.8,0.09,-0.04,0,4.6,0.09,-0.08,0.0,13h15m22.48s,198.8436817,-06d27m53.96s,-6.4649888,110.567,0.874,-0.86,10.971,0.015,-0.015,9.741,0.024,-0.024,9.313,0.024,-0.024,9.228,0.021,-0.021,,,,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,Calculated,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,16.3,,,0.0,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,72.41121364672664,0.00016068111380013685,0.0
TOI-1246 d,TOI-1246,d,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,18.6559,0.00048,-0.00048,0,0.131,0.004,-0.004,0.0,3.51,0.09,-0.09,0,Mass,,,,,28.0,,,0.0,89.5,0.2,-0.2,0.0,0.29,0.11,-0.11,0.0,5.4431451,0.2318418,-0.2318418,0.0,35.7,1.2,-1.2,0.0,0.036,0.001,-0.001,0.0,586.0,,,5151.0,100.0,-100.0,0.0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,4.4,0.1,-0.1,0.0,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.422,0.673,-0.669,11.632,0.024,-0.024,10.294,,,10.003,0.035,-0.035,9.907,0.036,-0.036,38.0,7.0,-14.0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,5.3,1.7,-1.7,0.0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,72.26968519993149,0.00028883846867268657,0.0
HD 15906 b,HD 15906,b,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,10.924709,3.2e-05,-3.2e-05,0,0.09,0.001,-0.001,0.0,2.24,0.08,-0.08,0,M-R relationship,0.11,0.04,-0.03,0.0,33.14,2.6,-2.45,0.0,87.98,0.16,-0.12,0.0,0.86,0.03,-0.03,0.0,1.8,0.07,-0.08,0.0,25.35,0.22,-0.19,0.0,0.027,0.001,-0.001,0.0,668.0,13.0,-13.0,4757.0,89.0,-89.0,0.0,0.76,0.01,-0.01,0,0.79,0.02,-0.04,0,4.49,0.05,-0.05,0.0,02h33m05.10s,38.2712534,-10d21m07.84s,-10.352178,45.5621,0.0883,-0.088,9.78,0.03,-0.03,8.035,0.018,-0.018,7.557,0.031,-0.031,7.459,0.023,-0.023,,,,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,5.65,,,0.0,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,<a refstr=TUSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3090T/abstract target=ref>Tuson et al. 2023</a>,71.64987386963183,0.00011087272732290556,0.0
TOI-1288 b,TOI-1288,b,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,2.699835,4e-06,-3e-06,0,0.0429,0.0006,-0.0006,0.0,5.24,0.09,-0.09,0,Mass,0.064,0.014,-0.015,0.0,603.3,,,0.0,88.3,1.7,-0.7,0.0,0.26,0.1,-0.24,0.0,2.37,0.05,-0.03,0.0,8.5,0.4,-0.4,0.0,0.0476,0.0005,-0.0005,0.0,1266.0,27.0,-27.0,5225.0,23.0,-27.0,0.0,1.01,0.02,-0.01,0,0.89,0.04,-0.02,0,4.24,0.09,-0.09,0.0,20h52m40.09s,313.1670294,+65d36m31.62s,65.6087833,114.865,0.322,-0.321,10.445,0.007,-0.007,9.193,0.02,-0.02,8.842,0.031,-0.031,8.779,0.021,-0.021,,,,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=MAGLIANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3168M/abstract target=ref>Magliano et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,42.0,3.0,-3.0,0.0,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3440K/abstract target=ref>Knudstrup et al. 2022</a>,70.89789958823187,0.0002055184316707849,0.0
HAT-P-54 b,HAT-P-54,b,Transit,2015,HATNet,1,3.799847,1.4e-05,-1.4e-05,0,0.04117,0.00043,-0.00043,0.0,10.581,0.314,-0.314,0,Mass,0.074,,,1.0,22.2,,,0.0,87.04,0.084,-0.084,0.0,0.741,0.01,-0.011,0.0,1.428,0.042,-0.042,0.0,14.34,0.22,-0.22,0.0,0.1572,0.002,-0.002,0.0,818.0,12.0,-12.0,4390.0,50.0,-50.0,0.0,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,4.67,0.01,-0.01,0.0,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005,143.651,0.583,-0.579,13.398,0.069,-0.069,11.145,0.027,-0.027,10.487,0.03,-0.03,10.326,0.019,-0.019,,,,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,241.5508,10.17056,-10.17056,0.0,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,<a refstr=BAKOS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149..149B/abstract target=ref>Bakos et al. 2015</a>,70.83361848845496,0.0005085080011081367,0.0
TOI-776 b,TOI-776,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,8.24661,5e-05,-4e-05,0,0.0652,0.0015,-0.0015,0.0,1.85,0.13,-0.13,0,Mass,0.06,0.03,-0.02,0.0,11.5,0.6,-0.6,0.0,89.65,0.22,-0.37,0.0,0.25,0.1,-0.14,0.0,2.41,0.11,-0.1,0.0,27.87,0.97,-1.02,0.0,0.0316,0.0008,-0.0011,0.0,514.0,17.0,-17.0,3709.0,70.0,-70.0,0.0,0.54,0.02,-0.02,0,0.54,0.03,-0.03,0,4.73,0.03,-0.03,0.0,11h54m18.72s,178.577997,-37d33m12.08s,-37.5533568,27.1701,0.03205,-0.03205,11.536,0.041,-0.041,8.483,0.018,-0.018,7.877,0.04,-0.04,7.615,0.02,-0.02,34.4,1.4,-2.0,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,4.0,0.9,-0.9,0.0,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,70.69705750890651,0.00013632333143495168,0.0
TOI-5803 b,TOI-5803,b,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,5.38305,0.000207,-0.0002,0,0.05738804262178914,,,,3.273,0.125,-0.119,0,M-R relationship,,,,,26.78,,,0.0,89.3,0.48,-0.6,0.0,0.349,0.223,-0.233,0.0,1.247,0.186,-0.186,0.0,28.596,1.887,-3.423,0.0,0.0393,0.0015,-0.0014,0.0,678.87,,,5134.0,121.0,-121.0,0.0,0.76,0.05,-0.05,0,0.87,0.1,-0.1,0,4.61,0.09,-0.09,0.0,21h48m59.70s,327.2487497,+06d16m41.44s,6.2781777,84.0126,0.4514,-0.4468,10.655,0.011,-0.011,9.218,0.026,-0.026,8.802,0.029,-0.029,8.684,0.021,-0.021,,,,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,Calculated,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,10.7,,,0.0,<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,70.66813670255999,0.00018418536325686498,0.0
TOI-244 b,TOI-244,b,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,7.397225,2.6e-05,-2.3e-05,0,0.0559,0.0013,-0.0013,0.0,1.52,0.12,-0.12,0,Mass,,,,,7.3,0.4,-0.4,0.0,,,,,0.61,0.31,-0.31,0.0,1.7,0.5,-0.5,0.0,28.1,1.8,-1.8,0.0,0.032407419664316685,,,,458.0,20.0,-20.0,3433.0,100.0,-100.0,0.0,0.43,0.03,-0.03,0,0.43,0.03,-0.03,0,4.66,0.07,-0.07,0.0,00h42m16.74s,10.5697537,-36d43m04.71s,-36.7179743,22.0337,0.0334,-0.0333,12.861,0.069,-0.069,8.827,0.023,-0.023,8.251,0.033,-0.033,7.97,0.029,-0.029,53.3,1.2,-1.1,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,2.68,0.3,-0.3,0.0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacutelez et al. 2023</a>,Calculated,70.19320647908921,0.00015666946038110714,0.0
