index,designation,ra,dec,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,ruwe,teff_gspphot
142,Gaia DR3 283449974472051072,85.36940205404355,61.31225833444962,9.005299,8.452374,9.389508,0.9199927,5394.657
143,Gaia DR3 1620603246543346304,222.91035438967825,63.75243114814794,9.270459,8.654551,9.711289,0.91583216,5341.237
144,Gaia DR3 431520453766506496,1.6447128083582614,63.002240996863485,9.181205,8.454021,9.762854,1.0194906,5050.253
145,Gaia DR3 1039628861569076608,137.30712182059156,60.54372997740107,9.138535,8.770936,9.259166,1.0584158,6928.118
146,Gaia DR3 2160663944855649792,274.1585553280518,62.77682212556484,9.215165,8.859404,9.423837,0.9903777,6597.669
147,Gaia DR3 474313480684756224,55.02958356479778,60.18713829435004,9.153667,8.34939,9.840089,0.9715595,5026.976
148,Gaia DR3 1676556980963825024,192.5723394543044,62.74387719559588,9.0941725,8.458562,9.560009,0.9899767,5309.8867
149,Gaia DR3 2204434849930352128,330.2161111624122,62.83840744898438,9.023188,8.257424,8.985616,1.1845746,6059.9634
150,Gaia DR3 1099392227685275776,104.95115216075409,62.724030293281615,9.015227,8.574385,9.286885,0.989685,5987.3257
151,Gaia DR3 1628585323003029632,244.5294514392424,62.94930579750788,9.0639,8.749792,9.237844,0.9329469,6896.7085
152,Gaia DR3 523124650132915456,19.383552349204127,62.86704844461404,9.16018,8.350963,9.855211,1.0145444,5031.9434
153,Gaia DR3 1049060437952469888,157.3122320580731,61.39307413838011,9.012577,8.384815,9.471439,1.0265837,5445.595
154,Gaia DR3 2240821709777322368,296.7326480146535,62.64004772509723,9.035319,8.699498,9.227092,1.027617,6700.902
155,Gaia DR3 477507252722395008,72.805676335845,61.52655327395703,9.043618,8.407085,9.511048,1.0939331,5168.9893
156,Gaia DR3 1660007647338787200,212.36106963492273,59.15537757600813,9.112202,8.704319,9.360353,1.1216549,6278.3755
157,Gaia DR3 2010713133182029312,348.7650910603743,59.52049340773958,9.2717285,7.9475713,11.374696,1.1217995,5871.5215
158,Gaia DR3 1035670413550419840,125.0390920777396,59.20093307920603,9.172688,8.714417,9.463732,1.0088142,5986.6553
159,Gaia DR3 1435762869329159424,264.303733860426,60.633280746140834,9.00508,8.55427,9.283813,1.0591123,6048.991
160,Gaia DR3 464823458388350976,41.74306312497306,60.607281685414456,9.303845,8.940217,9.5133095,0.9534867,6735.9033
161,Gaia DR3 846455526246038656,177.1978720149995,59.01211273606657,9.168765,8.8131075,9.37142,1.2146239,6576.6914
162,Gaia DR3 2192482643134965504,315.5843377990315,60.25205281651103,9.061207,8.531866,9.418926,0.9452146,5611.337
163,Gaia DR3 1005279774720262784,95.11952055031982,60.893536228478375,9.22125,8.493153,9.799983,0.944056,5095.8594
164,Gaia DR3 1616454754812126976,230.4170365496361,61.92351696967671,9.232258,8.796481,9.500106,0.7851793,6049.9214
165,Gaia DR3 425382567552097792,9.400588255606252,58.73640647883964,9.023266,8.32914,9.56233,0.9603998,5026.3027
166,Gaia DR3 1050674589741687040,148.15073628386125,60.758626428462364,9.030367,8.602755,9.292335,1.0734679,6061.77
167,Gaia DR3 2252153139172642816,284.9771469140048,61.671424114711975,9.02362,8.700239,9.208761,1.0121509,6825.9062
168,Gaia DR3 473473690017737088,60.1015876962667,59.53728278483595,9.005456,8.646877,9.212946,0.9402659,6911.7407
169,Gaia DR3 1663041715315629568,200.5174485069647,59.81226634514511,9.171424,8.799076,9.390233,0.9255674,6460.5693
170,Gaia DR3 2198784597108030464,334.36770936932237,58.08532158918334,9.093258,8.636941,9.369708,0.97733533,5927.844
171,Gaia DR3 1086304160960420224,112.87998229171916,60.49519032545446,9.028041,8.651807,9.24568,1.1605111,6566.071
172,Gaia DR3 1431683337593234048,249.60801858762966,58.32618986476561,9.184157,8.811104,9.401679,0.89321333,6488.9414
173,Gaia DR3 508207885117154816,29.030102576420777,60.58075916315223,9.126347,8.6751585,9.408253,1.1922681,5917.4653
174,Gaia DR3 861490110805393920,165.72928882035666,60.146949973833145,9.114884,8.631938,9.429953,0.9913672,5749.3184
175,Gaia DR3 2236638823948546688,304.7546801590571,59.49640367513643,9.019914,8.371827,9.504999,1.0261668,5101.659
176,Gaia DR3 281159485593537024,80.35161908173711,58.99711471297815,9.043203,8.619801,9.300042,1.1435429,6085.734
177,Gaia DR3 1610817627415941248,219.39819251953597,57.246994590715445,9.001446,7.983621,10.048994,1.3798985,5351.483
178,Gaia DR3 2011344905690057856,355.48235281306455,59.88525830585877,9.015841,8.401368,9.469985,0.8963208,5055.0874
179,Gaia DR3 1042601215160176896,134.6874209158853,60.6700266428576,9.205048,8.490758,9.756432,0.91173136,5012.696
180,Gaia DR3 2151970205197150720,270.0963349370123,57.41809243220852,9.192772,8.878002,9.368055,1.0341532,6853.941
181,Gaia DR3 448092430462386688,48.80269934598148,56.9749784119226,9.113472,8.548968,9.51008,0.9999649,5303.524
182,Gaia DR3 1574872118402689408,185.33299156016102,56.9787868976555,9.111017,8.495296,9.556766,0.93173766,5032.3247
183,Gaia DR3 2178421229459667328,324.0115895577986,57.47051811200652,9.082941,8.730924,9.286029,0.90562487,6605.323
184,Gaia DR3 1001622661607381120,101.14579296839896,58.70045533042595,9.185382,8.50257,9.709887,1.0451332,5306.0317
185,Gaia DR3 1626294937204402176,237.78404665096733,59.47809785705613,9.022528,8.441589,9.43245,1.0916141,5233.893
186,Gaia DR3 414189058146991616,17.679025582929032,59.57037592878033,9.009772,8.559784,9.289724,0.988667,5966.539
187,Gaia DR3 1045697100602285056,152.5291236153865,57.20130429284477,9.178153,8.787738,9.408738,1.2736737,6545.682
188,Gaia DR3 2239490647870962688,290.36691923263714,59.505675823757585,9.035084,8.646369,9.267016,0.9684737,6346.7134
189,Gaia DR3 277832638286087168,70.48882757367915,57.111399359682224,9.010598,8.272265,9.605783,0.9392722,5019.219
190,Gaia DR3 1662015218132064128,205.63634077961905,58.848974017003755,9.015556,8.554898,9.307942,1.0301405,5859.2407
191,Gaia DR3 2013483249650928128,342.9139598155031,58.878641466040285,9.000413,8.667524,9.189081,1.2861881,6824.6626
