# Prioritization file for occultation-standard
# Version: 1.1.0
# Updated by: Ben Hord
# Updated on: 2026-09-17 19:45:57
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
172,TIC_93279196,0.880892,600.0,0.0,600.0
173,TIC_238115675,0.880781,600.0,0.0,600.0
174,TIC_332064670,0.88067,600.0,0.0,600.0
175,TIC_303704858,0.880559,600.0,0.0,600.0
176,TIC_58445695,0.880448,600.0,0.0,600.0
177,TIC_231005052,0.880337,600.0,0.0,600.0
178,TIC_62569281,0.880226,600.0,0.0,600.0
179,TIC_302188141,0.880115,600.0,0.0,600.0
180,TIC_309599261,0.880004,600.0,0.0,600.0
181,TIC_155315739,0.879893,600.0,0.0,600.0
182,TIC_301880196,0.879782,600.0,0.0,600.0
183,TIC_9150015,0.87967,600.0,0.0,600.0
184,TIC_393844873,0.879559,600.0,0.0,600.0
185,TIC_408842743,0.879448,600.0,0.0,600.0
186,TIC_172954294,0.879337,600.0,0.0,600.0
187,TIC_213041474,0.879226,600.0,0.0,600.0
188,TIC_206686962,0.879115,600.0,0.0,600.0
189,TIC_352402781,0.879004,600.0,0.0,600.0
190,TIC_150796339,0.878893,600.0,0.0,600.0
191,TIC_80226651,0.878782,600.0,0.0,600.0
192,TIC_434210589,0.878671,600.0,0.0,600.0
193,TIC_307754027,0.87856,600.0,0.0,600.0
194,TIC_373694425,0.878448,600.0,0.0,600.0
195,TIC_219880402,0.878337,600.0,0.0,600.0
196,TIC_9728611,0.878226,600.0,0.0,600.0
197,TIC_362661163,0.878115,600.0,0.0,600.0
198,TIC_229092427,0.878004,600.0,0.0,600.0
199,TIC_238432056,0.877893,600.0,0.0,600.0
200,TIC_355127594,0.877782,600.0,0.0,600.0
201,TIC_311063391,0.877671,600.0,0.0,600.0
202,TIC_403585118,0.87756,600.0,0.0,600.0
203,TIC_416519065,0.877449,600.0,0.0,600.0
204,TIC_47346402,0.877338,600.0,0.0,600.0
205,TIC_326096771,0.877226,600.0,0.0,600.0
206,TIC_75946144,0.877115,600.0,0.0,600.0
207,TIC_307624961,0.877004,600.0,0.0,600.0
208,TIC_279649057,0.876893,600.0,0.0,600.0
209,TIC_117979951,0.876782,600.0,0.0,600.0
210,TIC_289673491,0.876671,600.0,0.0,600.0
211,TIC_353257675,0.87656,600.0,0.0,600.0
